2013-07-19,全銘柄日足,http://k-db.com/site/default.aspx
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
1400-T,ルーデン,東証JQグロース,建設業,17270,17270,16200,16350,303,5047510
1401-F,エムビーエス,福証QBoard,建設業,-,-,-,-,0,0
1405-T,サーラ住宅,東証2部,建設業,840,842,822,839,8600,7190400
1407-T,ウエストHD,東証JQスタンダード,建設業,2934,2940,2760,2774,287700,807687400
1408-T,サムシングHD,東証JQグロース,建設業,815,815,789,789,10300,8210900
1414-T,ショーボンド,東証1部,建設業,4235,4235,4100,4175,237300,989279500
1417-T,ミライトHD,東証1部,建設業,965,974,930,933,360500,339345100
1418-T,インターライフ,東証JQスタンダード,建設業,205,205,189,198,49700,9853400
1419-F,タマホーム,福証,建設業,-,-,-,-,0,0
1419-T,タマホーム,東証1部,建設業,1171,1178,1160,1168,154600,180427900
1420-T,サンヨーH,東証2部,建設業,799,818,792,796,15300,12217600
1491-T,中外鉱,東証2部,非鉄金属,31,32,30,31,819300,25299800
1514-T,住石HD,東証1部,鉱業,130,131,126,129,1187200,152668200
1515-T,日鉄鉱,東証1部,鉱業,409,410,398,398,156000,62787000
1518-F,三井松,福証,鉱業,-,-,-,-,0,0
1518-T,三井松,東証1部,鉱業,155,155,147,149,3356000,507793000
1540-T,純金信託,東証,その他,4100,4120,4095,4115,60949,250184615
1541-T,純プラ信,東証,その他,4445,4475,4430,4440,4887,21756505
1542-T,純銀信託,東証,その他,6210,6250,6200,6250,3772,23469880
1543-T,純パラ信,東証,その他,23230,23400,23230,23250,206,4801670
1544-T,上場MSジ,東証,その他,766,766,754,755,640,487190
1545-T,NASDAQ投,東証,その他,3115,3120,3070,3080,4580,14159250
1546-T,NYダウ30,東証,その他,15210,15280,15120,15140,4288,65187720
1547-T,上場米国,東証,その他,1820,1829,1805,1813,4010,7297630
1548-T,上場チャイナ,東証,その他,914,917,908,917,3350,3061670
1549-T,上場インド,東証,その他,1024,1036,1024,1032,4870,5004650
1550-T,MXS外株,東証,その他,1470,1477,1460,1464,4730,6950730
1551-T,JASDAQ20,東証,その他,6800,6820,6500,6600,14370,95281200
